dt,order_ts,order_id,item_seq,customer_id,restaurant_id,agent_id,item_id,quantity,item_price,discount_pct,delivery_fee,delivery_time_mins,payment_mode,order_status,city
2025-03-16,2025-03-16 19:06:00,ORD-20250316-0001,1,C0188,R017,A001,M019,2,424.47,10,30,62,Card,Delivered,DELHI
2025-03-16,2025-03-16 15:13:00,ORD-20250316-0002,2,C0181,R020,A014,M004,1,₹162.55,5,20,62,UPI,Delivered,Bangalore
2025-03-16,2025-03-16 11:54:00,ORD-20250316-0003,3,C0198,R014,A013,M004,4,235.24,25,20,68,UPI,Cancelled,Bangalore
2025-03-16,2025-03-16 22:40:00,ORD-20250316-0004,4,C0170,R020,A004,M017,2,443.94,0,49,-21,UPI,Delivered,mumbai
2025-03-16,2025-03-16 14:51:00,ORD-20250316-0005,5,C0195,R020,A011,M018,4,₹107.94,10,49,-33,COD,Delivered,DELHI
2025-03-16,2025-03-16 10:03:00,ORD-20250316-0006,6,C0139,R013,A009,M014,1,196.39,20,20,24,COD,Delivered,Hyderabad
2025-03-16,2025-03-16 19:13:00,ORD-20250316-0007,7,C0099,R009,A005,M014,3,239.45,0,0,38,Wallet,Delivered,DELHI
2025-03-16,2025-03-16 15:03:00,ORD-20250316-0008,8,C0120,R007,A010,M005,1,231.24,0,40,72,Net Banking,Delivered,Bangalore
2025-03-16,2025-03-16 15:11:00,ORD-20250316-0009,9,C0054,R005,A011,M002,4,234.62,0,30,-65,UPI,Delivered,Delhi
2025-03-16,2025-03-16 12:49:00,ORD-20250316-0010,10,C0010,R001,A008,M018,3,426.62,0,40,23,Wallet,Delivered,Chennai
2025-03-16,2025-03-16 19:39:00,ORD-20250316-0011,11,C0058,R003,A006,M016,4,266.89,10,0,37,Net Banking,Delivered,mumbai
2025-03-16,2025-03-16 21:25:00,ORD-20250316-0012,12,C0113,R015,A014,M001,4,409.06,20,40,67,UPI,Delivered,Hyderabad
2025-03-16,2025-03-16 16:28:00,ORD-20250316-0013,13,C0032,R019,A011,M019,4,354.3,5,30,45,COD,Delivered,Hyderabad
2025-03-16,2025-03-16 20:39:00,ORD-20250316-0014,14,C0070,R020,A004,M015,3,98.03,15,20,40,UPI,Cancelled,Pune
2025-03-16,2025-03-16 18:54:00,ORD-20250316-0015,15,C0122,R016,,M015,3,124.92,0,49,52,Wallet,Cancelled,Mumbai
2025-03-16,2025-03-16 19:48:00,ORD-20250316-0016,16,C0050,R006,A007,M001,3,188.18,25,30,75,COD,Delivered,Chennai
2025-03-16,2025-03-16 23:45:00,ORD-20250316-0017,17,C0059,R020,A013,M003,3, 198.97 ,0,20,18,Net Banking,Delivered,Hyderabad
2025-03-16,2025-03-16 21:30:00,ORD-20250316-0018,18,C0105,R002,A009,M006,4,100.76,0,0,68,Wallet,Delivered,Hyderabad
2025-03-16,2025-03-16 20:25:00,ORD-20250316-0019,19,C0054,R002,A010,M007,2,269.04,20,40,32,Net Banking,Delivered,Mumbai
2025-03-16,2025-03-16 14:32:00,ORD-20250316-0020,20,C0176,R020,A004,M017,4,130.85,25,30,15,UPI,Delivered,Pune
2025-03-16,2025-03-16 21:29:00,ORD-20250316-0021,21,C0017,R018,A011,M017,4,329.2,5,0,52,Card,Delivered,Bangalore
2025-03-16,2025-03-16 19:26:00,ORD-20250316-0022,22,C0115,R007,A007,M001,4,353.78,20,0,18,Net Banking,Delivered,DELHI
2025-03-16,2025-03-16 21:48:00,ORD-20250316-0023,23,C0026,R006,A010,M015,3,309.29,15,49,72,Wallet,Delivered,Bangalore
2025-03-16,2025-03-16 13:57:00,ORD-20250316-0024,24,C0154,R003,A008,M014,1,188.7,0,49,74,Card,Delivered,Kolkata
2025-03-16,2025-03-16 23:08:00,ORD-20250316-0025,25,C0061,R008,A015,M007,2,120.65,0,20,43,Card,Delivered,mumbai
2025-03-16,2025-03-16 23:03:00,ORD-20250316-0026,26,C0190,R019,A010,M009,3,440.2,15,30,24,UPI,Delivered,Mumbai
2025-03-16,2025-03-16 13:22:00,ORD-20250316-0027,27,C0158,R006,A011,M001,1,395.8,0,40,30,UPI,Cancelled,Hyderabad
2025-03-16,2025-03-16 10:31:00,ORD-20250316-0028,28,C0130,R008,A011,M016,4,371.12,20,0,24,Card,Delivered,mumbai
2025-03-16,2025-03-16 19:56:00,ORD-20250316-0029,29,C0138,R004,A013,M006,1,333.36,0,49,60,COD,Delivered,Chennai
2025-03-16,2025-03-16 16:15:00,ORD-20250316-0030,30,C0174,R003,A001,M003,2,348.96,0,30,18,Net Banking,Delivered,Delhi
2025-03-16,2025-03-16 17:57:00,ORD-20250316-0031,31,C0126,R018,A012,M004,2,170.79,10,20,57,COD,Delivered,Delhi
2025-03-16,2025-03-16 21:30:00,ORD-20250316-0032,32,C0175,R016,A007,M017,2,375.81,25,40,38,Card,Delivered,mumbai
2025-03-16,2025-03-16 23:01:00,ORD-20250316-0033,33,C0123,R014,A005,M005,1,231.2,0,0,33,UPI,Delivered,Kolkata
2025-03-16,2025-03-16 20:07:00,ORD-20250316-0034,34,C0032,R009,A012,M003,4,434.57,0,0,16,Card,Out for Delivery,Delhi
2025-03-16,2025-03-16 21:08:00,ORD-20250316-0035,35,C0070,R009,A002,M012,3,381.29,0,49,24,Wallet,Delivered,mumbai
2025-03-16,2025-03-16 19:51:00,ORD-20250316-0036,36,C0133,R008,A003,M006,2,343.36,0,49,50,Card,Delivered,Hyderabad
2025-03-16,2025-03-16 23:19:00,ORD-20250316-0037,37,C0038,R012,A002,M003,2,379.75,0,20,22,Card,Delivered,Bangalore
2025-03-16,2025-03-16 14:35:00,ORD-20250316-0038,38,C0148,R020,A015,M008,4,₹125.59,0,40,20,Wallet,Delivered,Mumbai
2025-03-16,2025-03-16 14:49:00,ORD-20250316-0039,39,C0194,R003,A003,M004,1, 324.41 ,0,40,59,COD,Delivered,Kolkata
2025-03-16,2025-03-16 17:17:00,ORD-20250316-0040,40,C0108,R020,A001,M016,2,185.15,5,49,28,Card,Delivered,DELHI
2025-03-16,2025-03-16 13:23:00,ORD-20250316-0041,41,C0093,R015,A009,M010,3,242.74,25,40,21,Net Banking,Delivered,Pune
2025-03-16,2025-03-16 18:36:00,ORD-20250316-0042,42,C0177,R013,A003,M009,3,368.32,0,30,73,Wallet,Delivered,Kolkata
2025-03-16,2025-03-16 10:37:00,ORD-20250316-0043,43,C0158,R007,A005,M006,2,99.25,10,49,23,UPI,Delivered,Chennai
2025-03-16,2025-03-16 12:04:00,ORD-20250316-0044,44,C0116,R007,A002,M018,4,168.22,10,40,21,COD,Delivered,Chennai
2025-03-16,2025-03-16 18:55:00,ORD-20250316-0045,45,C0150,R020,A007,M020,4,405.49,0,40,51,COD,Delivered,DELHI
2025-03-16,2025-03-16 11:34:00,ORD-20250316-0046,46,C0199,R017,A009,M012,3,93.78,5,0,-51,Wallet,Delivered,Chennai
2025-03-16,2025-03-16 20:28:00,ORD-20250316-0047,47,C0180,R007,A013,M009,4,341.78,25,0,20,Card,Delivered,Bangalore
2025-03-16,2025-03-16 20:08:00,ORD-20250316-0048,48,C0170,R016,A015,M002,3,218.48,0,0,71,UPI,Delivered,Chennai
2025-03-16,2025-03-16 21:14:00,ORD-20250316-0049,49,C0107,R018,A010,M017,1,284.99,5,49,-26,Wallet,Delivered,mumbai
2025-03-16,2025-03-16 17:26:00,ORD-20250316-0050,50,C0116,R003,,M006,3,349.93,0,49,21,Net Banking,Cancelled,Mumbai
2025-03-16,2025-03-16 22:28:00,ORD-20250316-0051,51,C0050,R013,A007,M013,2,263.77,25,0,67,Net Banking,Delivered,mumbai
2025-03-16,2025-03-16 14:23:00,ORD-20250316-0052,52,C0004,R015,A004,M003,2,410.87,15,30,36,Net Banking,Delivered,Chennai
2025-03-16,2025-03-16 17:26:00,ORD-20250316-0053,53,C0171,R017,A014,M004,1,93.42,15,30,74,Card,Delivered,Mumbai
2025-03-16,2025-03-16 17:51:00,ORD-20250316-0054,54,C0185,R009,A010,M007,2,276.4,0,40,56,Wallet,Delivered,Hyderabad
